"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12","est13","est14","est15","est16","est17","est18","est19","est20","est21","est22","est23","est24","est25","est26","est27","est28","est29","est30","est31","est32","est33"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.000)","","","",""
"Extreme rain/drought shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.000***","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.000)","","",""
"Bad harvest/soil erosion shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.000***","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.000)","",""
"Extreme rain/drought/bad harvest/soil erosion shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.000**",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.000)",""
"Conflict-caused losses of land/crops and assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.000***"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.000)"
"Constant","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***","0.148***"
"","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)"
"Observations","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720"
"Dependent Variable: At least one household member migrates outside household in a given year (yes=1)"
"Year fixed effects and province trend included"
